date,asset,realized,historical_mean,ols4,ols4_restricted
1969-05-01,Other_excess,-0.0168,0.00774783,0.00232435,0.00232435
1969-06-01,NoDur_excess,-0.0788,0.00704931,0.00960119,0.00960119
1969-06-01,Durbl_excess,-0.065,0.01164342,0.00465067,0.00465067
1969-06-01,Manuf_excess,-0.0743,0.00927937,-0.00510637,0.0
1969-06-01,Enrgy_excess,-0.1047,0.00907544,0.00322595,0.00322595
1969-06-01,HiTec_excess,-0.0067,0.01145953,0.00778259,0.00778259
1969-06-01,Telcm_excess,-0.0451,0.00622692,-0.00416913,0.0
1969-06-01,Shops_excess,-0.0602,0.00869823,0.00987527,0.00987527
1969-06-01,Hlth_excess,-0.0555,0.00963988,0.01122938,0.01122938
1969-06-01,Utils_excess,-0.0625,0.00731022,-0.00526219,0.0
1969-06-01,Other_excess,-0.1103,0.00769961,0.00167538,0.00167538
1969-07-01,NoDur_excess,-0.0738,0.00688098,0.00647901,0.00647901
1969-07-01,Durbl_excess,-0.075,0.01149314,0.00041076,0.00041076
1969-07-01,Manuf_excess,-0.0598,0.00911549,-0.00430183,0.0
1969-07-01,Enrgy_excess,-0.1017,0.00885235,0.00063231,0.00063231
1969-07-01,HiTec_excess,-0.0596,0.01142392,0.01192397,0.01192397
1969-07-01,Telcm_excess,-0.0503,0.00612627,-0.00371908,0.0
1969-07-01,Shops_excess,-0.0898,0.00856314,0.00569112,0.00569112
1969-07-01,Hlth_excess,-0.0326,0.00951216,0.00936676,0.00936676
1969-07-01,Utils_excess,-0.0351,0.00717333,-0.00182296,0.0
1969-07-01,Other_excess,-0.0966,0.00746824,-0.00076764,0.0
1969-08-01,NoDur_excess,0.0445,0.00672309,0.00418468,0.00418468
1969-08-01,Durbl_excess,0.0223,0.01132387,-0.00360205,0.0
1969-08-01,Manuf_excess,0.0369,0.00898063,-0.00259004,0.0
1969-08-01,Enrgy_excess,0.0612,0.00863601,-0.00133237,0.0
1969-08-01,HiTec_excess,0.0653,0.01128493,0.01510616,0.01510616
1969-08-01,Telcm_excess,0.0115,0.00601585,-0.00337223,0.0
1969-08-01,Shops_excess,0.0763,0.00837065,0.00109969,0.00109969
1969-08-01,Hlth_excess,0.0881,0.00942975,0.00869202,0.00869202
1969-08-01,Utils_excess,-0.0179,0.00709061,0.00270914,0.00270914
1969-08-01,Other_excess,0.0848,0.00726458,-0.00204356,0.0
1969-09-01,NoDur_excess,-0.0029,0.00679687,0.00540254,0.00540254
1969-09-01,Durbl_excess,-0.0068,0.01134531,-0.00246606,0.0
1969-09-01,Manuf_excess,-0.0269,0.00903516,-0.00158103,0.0
1969-09-01,Enrgy_excess,-0.1025,0.00873867,-0.00033953,0.0
1969-09-01,HiTec_excess,-0.0042,0.01139043,0.01579476,0.01579476
1969-09-01,Telcm_excess,-0.0462,0.00602656,-0.00257891,0.0
1969-09-01,Shops_excess,-0.0128,0.00850332,0.00361251,0.00361251
1969-09-01,Hlth_excess,0.0147,0.0095834,0.0107282,0.0107282
1969-09-01,Utils_excess,-0.0477,0.0070418,0.00131375,0.00131375
1969-09-01,Other_excess,-0.0125,0.00741602,0.00061756,0.00061756
1969-10-01,NoDur_excess,0.0772,0.00677797,0.00624208,0.00624208
1969-10-01,Durbl_excess,0.0326,0.01130994,0.00057146,0.00057146
1969-10-01,Manuf_excess,0.0608,0.00896511,-0.00599121,0.0
1969-10-01,Enrgy_excess,-0.0163,0.00852183,-0.00349853,0.0
1969-10-01,HiTec_excess,0.0519,0.01136004,0.0124704,0.0124704
1969-10-01,Telcm_excess,0.029,0.00592476,-0.00880557,0.0
1969-10-01,Shops_excess,0.0611,0.00846179,0.00559249,0.00559249
1969-10-01,Hlth_excess,0.0838,0.00959337,0.01212327,0.01212327
1969-10-01,Utils_excess,0.077,0.00693509,-0.007026,0.0
1969-10-01,Other_excess,0.074,0.00737719,-0.00107519,0.0
1969-11-01,NoDur_excess,-0.0288,0.00691498,0.00793533,0.00793533
1969-11-01,Durbl_excess,-0.05,0.01135136,-0.00032292,0.0
1969-11-01,Manuf_excess,-0.0394,0.00906595,-0.00217894,0.0
1969-11-01,Enrgy_excess,-0.0508,0.00847354,-0.00431769,0.0
1969-11-01,HiTec_excess,-0.0231,0.01143891,0.0145468,0.0145468
1969-11-01,Telcm_excess,0.0064,0.00596965,-0.00468992,0.0
1969-11-01,Shops_excess,-0.0461,0.0085642,0.0061626,0.0061626
1969-11-01,Hlth_excess,-0.002,0.00973774,0.01361491,0.01361491
1969-11-01,Utils_excess,-0.058,0.0070714,-0.00082737,0.0
1969-11-01,Other_excess,-0.0608,0.00750681,0.00191988,0.00191988
1969-12-01,NoDur_excess,-0.0258,0.00684563,0.00753849,0.00753849
1969-12-01,Durbl_excess,-0.0408,0.01123223,-0.00086858,0.0
1969-12-01,Manuf_excess,-0.0207,0.00897184,-0.00402136,0.0
1969-12-01,Enrgy_excess,-0.0365,0.00835845,-0.00567546,0.0
1969-12-01,HiTec_excess,-0.0138,0.01137184,0.01375747,0.01375747
1969-12-01,Telcm_excess,-0.0615,0.00597049,-0.00624723,0.0
1969-12-01,Shops_excess,-0.0364,0.00845806,0.00529451,0.00529451
1969-12-01,Hlth_excess,0.0366,0.00971495,0.01424904,0.01424904
1969-12-01,Utils_excess,-0.0127,0.00694505,-0.00423005,0.0
1969-12-01,Other_excess,-0.044,0.00737417,-9.361e-05,0.0
1970-01-01,NoDur_excess,-0.0485,0.00678236,0.00625226,0.00625226
1970-01-01,Durbl_excess,-0.0885,0.0111314,-0.00427756,0.0
1970-01-01,Manuf_excess,-0.079,0.00891434,-0.00277432,0.0
1970-01-01,Enrgy_excess,-0.1206,0.00827151,-0.00687511,0.0
1970-01-01,HiTec_excess,-0.0967,0.01132306,0.01637522,0.01637522
1970-01-01,Telcm_excess,-0.0317,0.00583973,-0.00724435,0.0
1970-01-01,Shops_excess,-0.0669,0.00837112,0.00229456,0.00229456
