date,model,cum_r2_os
1973-06-01,ridge_restricted,0.012696168297635401
1973-07-01,elastic_net_restricted,-0.01415111554902081
1973-07-01,ols4_restricted,0.009568490165985655
1973-07-01,ols_restricted,-0.01592418208923859
1973-07-01,random_forest,0.005578385398679675
1973-07-01,ridge_restricted,0.011098953662271316
1973-08-01,elastic_net_restricted,-0.015011871243158014
1973-08-01,ols4_restricted,0.012717572686594514
1973-08-01,ols_restricted,-0.01819708651492443
1973-08-01,random_forest,0.008495898591234563
1973-08-01,ridge_restricted,0.012603393421035124
1973-09-01,elastic_net_restricted,-0.0120402742125302
1973-09-01,ols4_restricted,0.009087861437421718
1973-09-01,ols_restricted,-0.01274119984820533
1973-09-01,random_forest,0.005035595240871949
1973-09-01,ridge_restricted,0.010854822620970716
1973-10-01,elastic_net_restricted,-0.017797474213436703
1973-10-01,ols4_restricted,0.009859931329456251
1973-10-01,ols_restricted,-0.024279363648566345
1973-10-01,random_forest,0.004849847499031801
1973-10-01,ridge_restricted,0.01124536393255109
1973-11-01,elastic_net_restricted,-0.017649481534675902
1973-11-01,ols4_restricted,0.017295851113988004
1973-11-01,ols_restricted,-0.027234959122334413
1973-11-01,random_forest,0.012820014920577893
1973-11-01,ridge_restricted,0.013443340134397042
1973-12-01,elastic_net_restricted,-0.01892536621308737
1973-12-01,ols4_restricted,0.01728434328512942
1973-12-01,ols_restricted,-0.02953381540766905
1973-12-01,random_forest,0.013453417381669741
1973-12-01,ridge_restricted,0.01326272510167864
1974-01-01,elastic_net_restricted,-0.020433806457975857
1974-01-01,ols4_restricted,0.01675099434234465
1974-01-01,ols_restricted,-0.031197538126152967
1974-01-01,random_forest,0.013103045129559843
1974-01-01,ridge_restricted,0.01271281274485806
1974-02-01,elastic_net_restricted,-0.02086734645357289
1974-02-01,ols4_restricted,0.0171959803689549
1974-02-01,ols_restricted,-0.03144352874535704
1974-02-01,random_forest,0.013903697720824792
1974-02-01,ridge_restricted,0.012888789957112701
1974-03-01,elastic_net_restricted,-0.01945044823597116
1974-03-01,ols4_restricted,0.019111061376661888
1974-03-01,ols_restricted,-0.029402627732799457
1974-03-01,random_forest,0.015008996945364483
1974-03-01,ridge_restricted,0.013248383747160631
1974-04-01,elastic_net_restricted,-0.016473108428658057
