date,asset_i,asset_j,inverse_covariance
1967-05-01,NoDur_excess,HiTec_excess,-126.870077797
1967-05-01,NoDur_excess,Telcm_excess,-173.3636202579
1967-05-01,NoDur_excess,Shops_excess,-993.4005422012
1967-05-01,NoDur_excess,Hlth_excess,-553.0112620673
1967-05-01,NoDur_excess,Utils_excess,-58.6522205259
1967-05-01,NoDur_excess,Other_excess,-426.123933459
1967-05-01,Durbl_excess,NoDur_excess,-11.326173809
1967-05-01,Durbl_excess,Durbl_excess,654.6129111764
1967-05-01,Durbl_excess,Manuf_excess,-574.8005853786
1967-05-01,Durbl_excess,Enrgy_excess,-3.8356505929
1967-05-01,Durbl_excess,HiTec_excess,-38.606681257
1967-05-01,Durbl_excess,Telcm_excess,24.6184502879
1967-05-01,Durbl_excess,Shops_excess,-239.7369024423
1967-05-01,Durbl_excess,Hlth_excess,66.7483365556
1967-05-01,Durbl_excess,Utils_excess,-12.2284859882
1967-05-01,Durbl_excess,Other_excess,56.9572876678
1967-05-01,Manuf_excess,NoDur_excess,-335.06034777
1967-05-01,Manuf_excess,Durbl_excess,-574.8005853786
1967-05-01,Manuf_excess,Manuf_excess,2995.6247370274
1967-05-01,Manuf_excess,Enrgy_excess,-416.0360427528
1967-05-01,Manuf_excess,HiTec_excess,-1002.7520106459
1967-05-01,Manuf_excess,Telcm_excess,-129.9932663797
1967-05-01,Manuf_excess,Shops_excess,-82.8180761667
1967-05-01,Manuf_excess,Hlth_excess,-42.5072591884
1967-05-01,Manuf_excess,Utils_excess,308.0944358121
1967-05-01,Manuf_excess,Other_excess,-856.471232225
1967-05-01,Enrgy_excess,NoDur_excess,-24.7751274563
1967-05-01,Enrgy_excess,Durbl_excess,-3.8356505929
1967-05-01,Enrgy_excess,Manuf_excess,-416.0360427528
1967-05-01,Enrgy_excess,Enrgy_excess,685.0286625744
1967-05-01,Enrgy_excess,HiTec_excess,79.5974263292
1967-05-01,Enrgy_excess,Telcm_excess,27.6642839736
1967-05-01,Enrgy_excess,Shops_excess,-7.9232175015
1967-05-01,Enrgy_excess,Hlth_excess,-45.3575629965
1967-05-01,Enrgy_excess,Utils_excess,-50.7404313328
1967-05-01,Enrgy_excess,Other_excess,-86.5424360154
1967-05-01,HiTec_excess,NoDur_excess,-126.870077797
1967-05-01,HiTec_excess,Durbl_excess,-38.606681257
1967-05-01,HiTec_excess,Manuf_excess,-1002.7520106459
1967-05-01,HiTec_excess,Enrgy_excess,79.5974263292
1967-05-01,HiTec_excess,HiTec_excess,1445.9757287347
1967-05-01,HiTec_excess,Telcm_excess,-66.5674079889
1967-05-01,HiTec_excess,Shops_excess,-92.9844627331
1967-05-01,HiTec_excess,Hlth_excess,-181.8646160385
1967-05-01,HiTec_excess,Utils_excess,-293.8604384738
1967-05-01,HiTec_excess,Other_excess,66.9392857233
1967-05-01,Telcm_excess,NoDur_excess,-173.3636202579
1967-05-01,Telcm_excess,Durbl_excess,24.6184502879
1967-05-01,Telcm_excess,Manuf_excess,-129.9932663797
1967-05-01,Telcm_excess,Enrgy_excess,27.6642839736
1967-05-01,Telcm_excess,HiTec_excess,-66.5674079889
1967-05-01,Telcm_excess,Telcm_excess,1538.582089103
1967-05-01,Telcm_excess,Shops_excess,-70.9779695292
1967-05-01,Telcm_excess,Hlth_excess,-36.7721275575
1967-05-01,Telcm_excess,Utils_excess,-384.8497260156
